OPR_DT,OPR_HR,MW
2/7/2019,19,213.48943
2/7/2019,20,184.51886
2/7/2019,21,167.09933
2/7/2019,22,148.06528
2/7/2019,23,132.23416
2/7/2019,24,117.29485
2/8/2019,1,157.5992
2/8/2019,2,152.01665
2/8/2019,3,144.41312
2/8/2019,4,143.6953
2/8/2019,5,153.00392
2/8/2019,6,184.11542
2/8/2019,7,231.04764
2/8/2019,8,204.75563
2/8/2019,9,153.48979
2/8/2019,10,134.8689
2/8/2019,11,130.49098
2/8/2019,12,114.22839
2/8/2019,13,110.67213
2/8/2019,14,111.2653
2/8/2019,15,119.5672
2/8/2019,16,128.55182
2/8/2019,17,152.0523
2/8/2019,18,188.47545
2/8/2019,19,209.44478
2/8/2019,20,188.92142
2/8/2019,21,190.89877
2/8/2019,22,180.09464
2/8/2019,23,156.86534
2/8/2019,24,153.11835
2/9/2019,1,131.48051
2/9/2019,2,128.77036
2/9/2019,3,119.3964
2/9/2019,4,113.26821
2/9/2019,5,116.25534
2/9/2019,6,130.20995
2/9/2019,7,155.26553
2/9/2019,8,130.1575
2/9/2019,9,120.77357
2/9/2019,10,100.53432
2/9/2019,11,94.95624
2/9/2019,12,87.23132
2/9/2019,13,67.84417
2/9/2019,14,64.39524
2/9/2019,15,69.93083
2/9/2019,16,83.56467
2/9/2019,17,121.22583
2/9/2019,18,153.25903
2/9/2019,19,174.99985
2/9/2019,20,154.75217
2/9/2019,21,155.24615
2/9/2019,22,152.55544
2/9/2019,23,137.51534
2/9/2019,24,128.98566
2/10/2019,1,155.23433
2/10/2019,2,140.533
2/10/2019,3,129.36057
2/10/2019,4,120.38554
2/10/2019,5,121.26176
2/10/2019,6,125.52207
2/10/2019,7,137.95065
2/10/2019,8,128.74388
2/10/2019,9,128.70966
2/10/2019,10,117.49949
2/10/2019,11,93.88347
2/10/2019,12,103.54489
2/10/2019,13,79.50422
2/10/2019,14,80.99382
2/10/2019,15,91.82742
2/10/2019,16,117.25551
2/10/2019,17,142.03387
2/10/2019,18,157.29994
2/10/2019,19,172.33704
2/10/2019,20,166.51894
2/10/2019,21,162.45177
2/10/2019,22,159.26038
2/10/2019,23,156.4746
2/10/2019,24,143.78912
2/11/2019,1,147.18414
2/11/2019,2,137.63496
2/11/2019,3,129.17851
2/11/2019,4,136.04092
2/11/2019,5,156.37389
2/11/2019,6,188.69363
2/11/2019,7,238.22285
2/11/2019,8,196.66135
